wavelength;unc;wavenumber;Int;DQ;D;J;Jn;decaywidth;lowerlevel;upperlevel;;
Wavelengths;Unc.;sigma;Int;D;D;J;J';Decay width;Lower Level;Upper Level;;
3347.49;0.005;29864.54;;;;;;2.14E+04;6s 2 S 1/2;12p 2 P ?3/2;;
3348.82;0.005;29852.68;;;;;;1.06E+03;6s 2 S 1/2;12p 2 P ?1/2;;
3397.966;0.005;29420.93;;;;;;3.61E+04;6s 2 S 1/2;11p 2 P ?3/2;;
3399.979;0.005;29403.51;;;;;;2.36E+03;6s 2 S 1/2;11p 2 P ?1/2;;
3476.809;0.005;28753.77;;;;;;6.27E+04;6s 2 S 1/2;10p 2 P ?3/2;;
3480.06;0.005;28726.91;;;;;;6.33E+03;6s 2 S 1/2;10p 2 P ?1/2;;
3611.4714;0.001 9;27681.65;160;;;;;1.43E+05;6s 2 S 1/2;9p 2 P ?3/2;;
3617.3084;0.001 7;27636.983;32;;;;;2.23E+04;6s 2 S 1/2;9p 2 P ?1/2;;
3876.1486;0.000 8;25791.494;2 100;;;;;3.86E+05;6s 2 S 1/2;8p 2 P ?3/2;9.40E+05;
3888.608502;0.000 005;25708.85473;600;;;;;8.99E+04;6s 2 S 1/2;8p 2 P ?1/2;;
4111.16407;0.000 000 2;24317.1494;;0.0;;;;0.0;6s 2 S 1/2;8s 2 S 1/2;;
4417.3432;0.000 2;22631.684;;0.0;;;;0.0;6s 2 S 1/2;6d 2 D 5/2;;
4425.7258;0.000 2;22631.684;;-0.0;;;;0.0;6s 2 S 1/2;6d 2 D 3/2;;
4555.2799;0.000 5;21946.263;;;;;;1.84E+06;6s 2 S 1/2;7p 2 P ?3/2;2.97E+06;
4593.1721;0.000 5;21765.211;;0.279;;;;1118625.5947445456;6s 2 S 1/2;7p 2 P ?1/2;;
5152.6813;0.000 5;19401.967;;-0.3472210350400107;;;;613616.0548243566;6p 2 P ?1/2;14d 2 D 3/2;;
5196.7343;0.000 5;19237.497;;0.4031056470732124;;;;806177.6068735046;6p 2 P ?1/2;13d 2 D 3/2;;
5256.5633;0.000 5;19018.543;;-0.47651595641945016;;;;1088513.2104719023;6p 2 P ?1/2;12d 2 D 3/2;;
5301.4;0.02;18857.7;;-0.17212099458530028;;;;276892.041012338;6p 2 P ?1/2;13s 2 S 1/2;;
5303.7766;0.000 5;18849.245;;0.26871978294141613;;;;317725.34094352;6p 2 P ?3/2;19d 2 D 5/2;;
5340.9418;0.000 5;18718.088;;0.5766281431511426;;;;1519576.7411874058;6p 2 P ?1/2;11d 2 D 3/2;;
5350.3512;0.000 5;18685.165;;0.5550890784764664;;;;1320646.9638995146;6p 2 P ?3/2;13d 2 D 5/2;;
5406.6672;0.000 5;18490.542;;0.21198394827013123;;;;395941.96989922517;6p 2 P ?1/2;12s 2 S 1/2;;
5413.6145;0.000 5;18466.813;;-0.6567781255501864;;;;1784775.610927405;6p 2 P ?3/2;12d 2 D 5/2;;
5414.28;0.02;18464.5;;-0.21989173332041428;;;;299981.98366379295;6p 2 P ?3/2;12d 2 D 3/2;;
5461.9231;0.000 5;18303.484;;0.2405355258108538;;;;699280.1666297718;6p 2 P ?3/2;13s 2 S 1/2;;
5465.9443;0.000 5;18290.023;;-0.7201621673559364;;;;2211309.3601014316;6p 2 P ?1/2;10d 2 D 3/2;;
5502.8843;0.000 5;18167.253;;;0.7825;1.5;2.5;2481111.805;6p 2 P ?3/2;11d 2 D 5/2;;
5503.8524;0.000 5;18164.046;;0.26659940531949083;;;;419775.91677106294;6p 2 P ?3/2;11d 2 D 3/2;;
5568.4078;0.000 5;17953.469;;-0.2715725147685274;;;;594830.2251627265;6p 2 P ?1/2;11s 2 S 1/2;;
5573.674;0.000 5;17936.506;;-0.2965001097286257;;;;999895.2928969982;6p 2 P ?3/2;12s 2 S 1/2;;
5635.2123;0.000 5;17740.637;;;0.9796;1.5;2.5;3620891.355;6p 2 P ?3/2;10d 2 D 5/2;;
5636.67;0.02;17736.1;;-0.3338979315565392;;;;612998.1026886466;6p 2 P ?3/2;10d 2 D 3/2;;
5664.0183;0.000 5;17650.412;;0.9409386635933268;;;;3392604.1514824484;6p 2 P ?1/2;9d 2 D 3/2;;
5745.7244;0.000 5;17399.42;;0.3803612851435883;;;;1502061.5797029783;6p 2 P ?3/2;11s 2 S 1/2;;
5838.8347;0.000 5;17121.96;;;;;;; ;10s 2 S 1/2;;
5845.141;0.000 5;17103.486;;1.3050230810172987;;;;5598344.926622164;6p 2 P ?3/2;9d 2 D 5/2;;
6010.4905;0.000 5;16632.971;;-1.3183636335697368;;;;5573463.848761829;6p 2 P ?1/2;8d 2 D 3/2;;
6034.0895;0.000 5;16567.922;;-0.5185534726195538;;;;2410356.8783059255;6p 2 P ?3/2;10s 2 S 1/2;;
6116.52;0.02;16344.6;;-0.5760737303486062;;;;952031.2085972831;5d 2 D 3/2;14f 2 F ?5/2;;
6150.38;0.02;16254.8;;0.6489247717110518;;;;1188204.2483107292;5d 2 D 3/2;13f 2 F ?5/2;;
6153.2381;0.000 5;16247.1095;;0.0;;;;0.0;5d 2 D 3/2;14f 2 F ?7/2;;
6187.5442;0.000 5;16157.03;;0.7783357812537925;;;;1542034.8370242433;5d 2 D 5/2;13f 2 F ?7/2;;
6193.6689;0.000 5;16141.0531;;-0.9412889443525525;;;;2447993.177267106;9d 2 D 3/2;12f 2 F ?5/2;;
6213.0998;0.000 5;16090.574;;-1.838100332509721;;;;9247443.38709763;6p 2 P ?3/2;8d 2 D 5/2;;
6217.5986;0.000 5;16078.932;;-0.6185684105531947;;;;1567497.7766487887;6p 2 P ?3/2;8d 2 D 3/2;;
